5rk1/pp1r1pp1/2p1pn2/7p/2PP1BnP/5B2/PP1R2P1/4R1K1 b - - 6 21,-0.94
3r2k1/pp1r1pp1/2p1pn2/7p/2PP1BnP/5B2/PP1R2P1/4R1K1 w - - 7 22,-1.06
3r2k1/pp1r1pp1/2p1pn2/7p/2PP1BnP/5B2/PP1R2P1/3R2K1 b - - 8 22,-1.07
3r1k2/pp1r1pp1/2p1pn2/7p/2PP1BnP/5B2/PP1R2P1/3R2K1 w - - 9 23,-0.77
3r1k2/pp1r1pp1/2p1pn2/6Bp/2PP2nP/5B2/PP1R2P1/3R2K1 b - - 10 23,-0.69
3r1k2/1p1r1pp1/p1p1pn2/6Bp/2PP2nP/5B2/PP1R2P1/3R2K1 w - - 0 24,-0.67
3r1k2/1p1r1pp1/p1p1pn2/6Bp/2PP2nP/1P3B2/P2R2P1/3R2K1 b - - 0 24,-0.83
3r2k1/1p1r1pp1/p1p1pn2/6Bp/2PP2nP/1P3B2/P2R2P1/3R2K1 w - - 1 25,-0.77
3r2k1/1p1r1pp1/p1p1pn2/6Bp/2PP2BP/1P6/P2R2P1/3R2K1 b - - 0 25,-1.75
3r2k1/1p1r1pp1/p1p1pn2/6B1/2PP2pP/1P6/P2R2P1/3R2K1 w - - 0 26,-1.88
3r2k1/1p1r1pp1/p1p1pn2/6B1/2PP2pP/1P6/P2R2P1/3R1K2 b - - 1 26,-2.25
3r2k1/1p1r1pp1/p1p1p3/6B1/2PPn1pP/1P6/P2R2P1/3R1K2 w - - 2 27,-2.21
3B2k1/1p1r1pp1/p1p1p3/8/2PPn1pP/1P6/P2R2P1/3R1K2 b - - 0 27,-2.32
3B2k1/1p1r1pp1/p1p1p3/8/2PP2pP/1P6/P2n2P1/3R1K2 w - - 0 28,-2.36
3B2k1/1p1r1pp1/p1p1p3/8/2PP2pP/1P6/P2R2P1/5K2 b - - 0 28,-2.28
3r2k1/1p3pp1/p1p1p3/8/2PP2pP/1P6/P2R2P1/5K2 w - - 0 29,-2.26
3r2k1/1p3pp1/p1p1p3/8/2PP2pP/1P6/P2R1KP1/8 b - - 1 29,-2.17
3r2k1/1p4p1/p1p1p3/5p2/2PP2pP/1P6/P2R1KP1/8 w - - 0 30,-2.33
3r2k1/1p4p1/p1p1p3/5p2/2PP2pP/1P4K1/P2R2P1/8 b - - 1 30,-2.47
3r4/1p3kp1/p1p1p3/5p2/2PP2pP/1P4K1/P2R2P1/8 w - - 2 31,-2.69
3r4/1p3kp1/p1p1p3/5p2/2PP1KpP/1P6/P2R2P1/8 b - - 3 31,-2.83
3r4/1p4p1/p1p1pk2/5p2/2PP1KpP/1P6/P2R2P1/8 w - - 4 32,-2.78
3r4/1p4p1/p1p1pk2/5p2/2PP1KpP/1P4P1/P2R4/8 b - - 0 32,-4.1
3r4/1p6/p1p1pkp1/5p2/2PP1KpP/1P4P1/P2R4/8 w - - 0 33,-2.48
3r4/1p6/p1p1pkp1/5p2/2PP1KpP/1P1R2P1/P7/8 b - - 1 33,-3.71
8/1p6/p1p1pkp1/5p2/2Pr1KpP/1P1R2P1/P7/8 w - - 0 34,-4.39
8/1p6/p1p1pkp1/5p2/2PR1KpP/1P4P1/P7/8 b - - 0 34,-3.15
8/1p6/p1p2kp1/4pp2/2PR1KpP/1P4P1/P7/8 w - - 0 35,-2.92
8/1p6/p1p2kp1/4pp2/2PR2pP/1P2K1P1/P7/8 b - - 1 35,-3.15
8/1p6/p1p2kp1/5p2/2Pp2pP/1P2K1P1/P7/8 w - - 0 36,-3.75
8/1p6/p1p2kp1/5p2/2PK2pP/1P4P1/P7/8 b - - 0 36,-3.98
8/1p6/p4kp1/2p2p2/2PK2pP/1P4P1/P7/8 w - - 0 37,-4.01
8/1p6/p4kp1/2K2p2/2P3pP/1P4P1/P7/8 b - - 0 37,-3.76
8/1p6/p4kp1/2K5/2P2ppP/1P4P1/P7/8 w - - 0 38,-1.69
8/1p6/p4kp1/2K5/2P2PpP/1P6/P7/8 b - - 0 38,-6.32
8/1p6/p4kp1/2K5/2P2P1P/1P4p1/P7/8 w - - 0 39,-6.31
8/1p6/pK3kp1/8/2P2P1P/1P4p1/P7/8 b - - 1 39,-6.14
8/1p6/pK3kp1/8/2P2P1P/1P6/P5p1/8 w - - 0 40,-6.05
8/1K6/p4kp1/8/2P2P1P/1P6/P5p1/8 b - - 0 40,-6.24
8/1K6/p4kp1/8/2P2P1P/1P6/P7/6q1 w - - 0 41,-6.26
8/1K6/p4kp1/8/1PP2P1P/8/P7/6q1 b - - 0 41,-6.2
8/1K6/p4kp1/8/1PP2P1P/8/P7/1q6 w - - 1 42,-6.27
8/1K6/p4kp1/8/1PP2P1P/P7/8/1q6 b - - 0 42,-6.39
8/1K6/p4kp1/8/1PP2P1P/Pq6/8/8 w - - 1 43,-6.08
8/8/K4kp1/8/1PP2P1P/Pq6/8/8 b - - 0 43,-6.57
8/8/K4kp1/8/1Pq2P1P/P7/8/8 w - - 0 44,-6.62
8/8/5kp1/K7/1Pq2P1P/P7/8/8 b - - 1 44,-6.74
8/8/5kp1/K7/1P3q1P/P7/8/8 w - - 0 45,-6.61
8/8/5kp1/KP6/5q1P/P7/8/8 b - - 0 45,-7.1
